"","Income","Education"
"980",59211,"Grad"
"981",21185,"HS"
"982",25399,"AD"
"983",31453,"BD"
"984",52359,"Grad"
"985",30123,"HS"
"986",36626,"AD"
"987",49540,"BD"
"988",68026,"Grad"
"989",26515,"HS"
"990",22989,"AD"
"991",35293,"BD"
"992",49095,"Grad"
"993",20817,"HS"
"994",22269,"AD"
"995",31797,"BD"
"996",37697,"Grad"
"997",22702,"HS"
"998",24271,"AD"
"999",36750,"BD"
"1000",37500,"Grad"
"1001",27363,"HS"
"1002",35179,"AD"
"1003",46886,"BD"
"1004",65275,"Grad"
"1005",34288,"HS"
"1006",44150,"AD"
"1007",58486,"BD"
"1008",82163,"Grad"
"1009",22322,"HS"
"1010",26855,"AD"
"1011",32083,"BD"
"1012",39118,"Grad"
"1013",22353,"HS"
"1014",38375,"AD"
"1015",41635,"BD"
"1016",40313,"Grad"
"1017",26223,"HS"
"1018",36840,"AD"
"1019",53974,"BD"
"1020",62019,"Grad"
"1021",23071,"HS"
"1022",27426,"AD"
"1023",34375,"BD"
"1024",49375,"Grad"
"1025",21683,"HS"
"1026",25307,"AD"
"1027",20313,"BD"
"1028",11615,"Grad"
"1029",20208,"HS"
"1030",25809,"AD"
"1031",35469,"BD"
"1032",62857,"Grad"
"1033",24138,"HS"
"1034",18750,"AD"
"1035",29167,"BD"
"1036",51818,"Grad"
"1037",26567,"HS"
"1038",25128,"AD"
"1039",31735,"BD"
"1040",43750,"Grad"
"1041",26335,"HS"
"1042",31669,"AD"
"1043",46910,"BD"
"1044",62924,"Grad"
"1045",30250,"HS"
"1046",28750,"AD"
"1047",33750,"BD"
"1048",45750,"Grad"
"1049",37509,"HS"
"1050",45781,"AD"
"1051",67088,"BD"
"1052",79695,"Grad"
"1053",31238,"HS"
"1054",44051,"AD"
"1055",44442,"BD"
"1056",54894,"Grad"
"1057",36887,"HS"
"1058",38260,"AD"
"1059",53646,"BD"
"1060",73616,"Grad"
"1061",27226,"HS"
"1062",32417,"AD"
"1063",47151,"BD"
"1064",64711,"Grad"
"1065",22100,"HS"
"1066",27312,"AD"
"1067",31495,"BD"
"1068",45213,"Grad"
"1069",30924,"HS"
"1070",38890,"AD"
"1071",42901,"BD"
"1072",45000,"Grad"
"1073",29474,"HS"
"1074",31196,"AD"
"1075",50549,"BD"
"1076",63011,"Grad"
"1077",31664,"HS"
"1078",36886,"AD"
"1079",37926,"BD"
"1080",54654,"Grad"
"1081",31820,"HS"
"1082",26471,"AD"
"1083",32222,"BD"
"1084",48929,"Grad"
"1085",28889,"HS"
"1086",26364,"AD"
"1087",26000,"BD"
"1088",35833,"Grad"
"1089",25027,"HS"
"1090",21629,"AD"
"1091",37909,"BD"
"1092",12066,"Grad"
"1093",31250,"HS"
"1094",30321,"AD"
"1095",30000,"BD"
"1096",40750,"Grad"
"1097",33375,"HS"
"1098",38119,"AD"
"1099",55287,"BD"
"1100",69388,"Grad"
"1101",33125,"HS"
"1102",21800,"AD"
"1103",28854,"BD"
"1104",33571,"Grad"
"1105",29000,"HS"
"1106",28902,"AD"
"1107",32586,"BD"
"1108",46406,"Grad"
"1109",33238,"HS"
"1110",25000,"AD"
"1111",36146,"BD"
"1112",14730,"Grad"
"1113",27371,"HS"
"1114",30896,"AD"
"1115",38700,"BD"
"1116",47755,"Grad"
"1117",28110,"HS"
"1118",32050,"AD"
"1119",41383,"BD"
"1120",58481,"Grad"
"1121",24613,"HS"
"1122",30424,"AD"
"1123",35128,"BD"
"1124",41630,"Grad"
"1125",26987,"HS"
"1126",31542,"AD"
"1127",26300,"BD"
"1128",41591,"Grad"
"1129",25558,"HS"
"1130",30500,"AD"
"1131",35078,"BD"
"1132",43852,"Grad"
"1133",29805,"HS"
"1134",32479,"AD"
"1135",39834,"BD"
"1136",52163,"Grad"
"1137",15500,"HS"
"1138",18214,"AD"
"1139",33393,"BD"
"1140",35938,"Grad"
"1141",33383,"HS"
"1142",34234,"AD"
"1143",48393,"BD"
"1144",53036,"Grad"
"1145",25652,"HS"
"1146",25248,"AD"
"1147",39103,"BD"
"1148",53191,"Grad"
"1149",29956,"HS"
"1150",29388,"AD"
"1151",39735,"BD"
"1152",42601,"Grad"
"1153",24521,"HS"
"1154",30186,"AD"
"1155",36667,"BD"
"1156",46927,"Grad"
"1157",22393,"HS"
"1158",27390,"AD"
"1159",35459,"BD"
"1160",46667,"Grad"
"1161",16313,"HS"
"1162",24792,"AD"
"1163",36522,"BD"
"1164",50119,"Grad"
"1165",36209,"HS"
"1166",34855,"AD"
"1167",48750,"BD"
"1168",54663,"Grad"
"1169",27361,"HS"
"1170",26118,"AD"
"1171",38889,"BD"
"1172",43750,"Grad"
"1173",23980,"HS"
"1174",34167,"AD"
"1175",40810,"BD"
"1176",58188,"Grad"
"1177",22479,"HS"
"1178",27817,"AD"
"1179",37742,"BD"
"1180",41469,"Grad"
"1181",25569,"HS"
"1182",29872,"AD"
"1183",41066,"BD"
"1184",56543,"Grad"
"1185",41250,"HS"
"1186",36435,"AD"
"1187",45588,"BD"
"1188",43125,"Grad"
"1189",21989,"HS"
"1190",26225,"AD"
"1191",36068,"BD"
"1192",44875,"Grad"
"1193",34719,"HS"
"1194",32365,"AD"
"1195",37838,"BD"
"1196",53298,"Grad"
"1197",20754,"HS"
"1198",23276,"AD"
"1199",27361,"BD"
"1200",31964,"Grad"
"1201",14663,"HS"
"1202",30208,"AD"
"1203",26250,"BD"
"1204",32321,"Grad"
"1205",27023,"HS"
"1206",38009,"AD"
"1207",39412,"BD"
"1208",51477,"Grad"
"1209",25426,"HS"
"1210",26683,"AD"
"1211",36042,"BD"
"1212",51023,"Grad"
"1213",31840,"HS"
"1214",33561,"AD"
"1215",38822,"BD"
"1216",48289,"Grad"
"1217",26155,"HS"
"1218",35257,"AD"
"1219",44705,"BD"
"1220",49353,"Grad"
"1221",27065,"HS"
"1222",30231,"AD"
"1223",29375,"BD"
